"TeamName,CreatedDate,CaptainEmail",CreatedDate,CaptainEmail
Thunder Wolves,2026-05-28,Burdette86@hotmail.com
Iron Falcons,2026-05-10,Lempi96@hotmail.com
Silver Hawks,2025-12-11,Skyla_Kunde@yahoo.com
Night Raiders,2026-01-20,Boyd.Lehner68@yahoo.com
Golden Bears,2025-08-08,Jerrold.Beier85@yahoo.com
Storm Breakers,2026-02-08,Dakota_Rau@yahoo.com
Red Dragons,2025-10-13,Green91@gmail.com
Blue Titans,2026-05-30,Colby_Boehm15@yahoo.com
Shadow Panthers,2026-05-17,Dina67@hotmail.com
Arctic Foxes,2025-07-21,Keenan.Russel@gmail.com
Desert Scorpions,2026-05-13,Judge50@yahoo.com
Mountain Eagles,2025-07-21,Arielle51@gmail.com
Steel Warriors,2026-05-21,Annalise_Mayert45@gmail.com
Wild Sharks,2026-04-06,Rebeka23@hotmail.com
Fire Phoenix,2026-01-02,Benny_Lueilwitz4@yahoo.com
Rapid Lynx,2025-07-21,Melyna6@gmail.com
Black Cobras,2026-03-14,Elvie.Stark@hotmail.com
Northern Wolves,2025-12-05,Alta_Friesen@gmail.com
Solar Falcons,2026-02-11,Sydnee.Heller51@gmail.com
Crimson Knights,2026-04-03,America67@hotmail.com
